%dados de avaliacoes spam e nao spam de lugares do Apontador

@relation 'apontador'
@attribute qLikes_tip real
@attribute qAbuse_tip real
@attribute qPlaces_usr real
@attribute qTips_usr real
@attribute qPhotos_usr real
@attribute qClicks_plc real
@attribute qTips_plc real
@attribute rating_plc real
@attribute qThumbsdown_plc real
@attribute qThumbsup_plc real
@attribute simil_avg_tip real
@attribute simil_max_tip real 
@attribute simil_min_tip real
@attribute simil_median_tip real
@attribute simil_sd_tip real
@attribute qUnigram_avg_tip real
@attribute qUnigram_avg_fraction_tip real
@attribute qBigram_avg_tip real
@attribute qBigram_avg_fraction_tip real
@attribute qTrigram_avg_tip real
@attribute qTrigram_avg_fraction_tip real
@attribute qSpamWords_tip real
@attribute qCapitalChar_tip real
@attribute qNumeriChar_tip real
@attribute qPhone_tip real
@attribute qEmail_tip real
@attribute qURL_tip real
@attribute qContacts_tip real
@attribute qWords_tip real
@attribute qCapitalWords_tip real
@attribute dist_avg_usr real 
@attribute dist_max_usr real
@attribute dist_min_usr real
@attribute dist_median_usr real
@attribute dist_sd_usr real
@attribute qOffensWords_tip real
@attribute hasOffensWords_tip real
@attribute clust_gph real
@attribute recip_gph real
@attribute indeg_gph real
@attribute outdeg_gph real
@attribute followers_followees_gph real
@attribute degree_gph real
@attribute betwee_gph real
@attribute assort_inin_gph real
@attribute assort_inout_gph real
@attribute assort_outin_gph real
@attribute assort_outout_gph real
@attribute pagerank_gph real
@attribute qAreas_usr real
@attribute focus_area_usr real
@attribute entropy_usr real
@attribute sentiwordnet_tip real
@attribute emoticons_tip real
@attribute panast_tip real
@attribute sasa_tip real
@attribute senticnet_tip real
@attribute happinessindex_tip real
@attribute sentistrength_tip real
@attribute combined_tip real
@attribute class1 {spam, notspam}
@attribute class2 {notspam, marketer, pollution, badmouthing}

@data
0.0001,0.0001,0.0001,5.0,3.0,27.0,1.0,5.0,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1.0,-1.0,-1.0,0.403731331046,1e-05,1e-05,0.403731331046,1e-05,1e-05,1e-05,0.107656171693,spam,marketer
0.0001,0.0001,1.0,1.0,0.0001,35.0,0.0001,0.0001,3.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,20.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1.0,-1.0,-1.0,1e-05,1e-05,1e-05,1e-05,0.00681818181818,-0.325,-0.666666666667,-0.149900470166,spam,badmouthing
0.0001,0.0001,0.0001,1.0,0.0001,1.985,2.0,5.0,4.0,4.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,28.0,26.0,2.0,0.0001,0.0001,2.0,37.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1.0,-1.0,-1.0,1e-05,1e-05,1e-05,1e-05,0.0183636363636,0.04125,-0.666666666667,-0.0986611420622,spam,marketer
0.0001,0.0001,10.0,122.0,22.0,3.926,51.0,4.0,776.0,603.0,0.0249591135988,0.0952380952381,0.0001,0.0001,0.0315474842845,0.952380952381,0.10582010582,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,10.0,0.0001,0.0001,0.0001,0.0001,5.0,0.0001,4.4966,13.702,0.118,4.516,3.681765954,0.0001,0.0001,0.221598503074,0.395833333333,59.0,47.0,1.22916666667,106.0,6.59730919022e-06,97.8474576271,128.101694915,122.829787234,160.808510638,6.42457669778e-05,1,1.0,0.0001,1e-05,1e-05,1e-05,1e-05,0.1816,0.64,0.666666666667,0.217858468265,spam,pollution
0.0001,1.0,143.0,73.0,54.0,15.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.95,0.475,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,783.813368421,2085.652,0.0001,346.886,819.767831893,0.0001,0.0001,0.220731707317,0.0001,35.0,6.0,5.0,41.0,4.8618551689e-07,20.1142857143,22.3714285714,117.333333333,130.5,1.58100685934e-05,9,0.35,2.76386512195,0.403731331046,1e-05,1e-05,0.403731331046,1e-05,1e-05,1e-05,0.107656171693,spam,pollution
0.0001,1.0,143.0,73.0,54.0,112.0,11.0,4.0,9.0,9.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.47619047619,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,744.7104,2085.652,0.0001,290.947,817.085583777,0.0001,0.0001,0.220731707317,0.0001,35.0,6.0,5.0,41.0,4.8618551689e-07,20.1142857143,22.3714285714,117.333333333,130.5,1.58100685934e-05,9,0.333333333333,2.75391875818,0.403731331046,1e-05,1e-05,0.403731331046,1e-05,1e-05,1e-05,0.107656171693,spam,pollution
0.0001,0.0001,143.0,73.0,54.0,1.0,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.190476190476,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,868.78005,4221.066,0.0001,290.947,1098.63117436,0.0001,0.0001,0.220731707317,0.0001,35.0,6.0,5.0,41.0,4.8618551689e-07,20.1142857143,22.3714285714,117.333333333,130.5,1.58100685934e-05,10,0.333333333333,2.90844792474,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.666666666667,0.106715857075,spam,pollution
0.0001,0.0001,143.0,73.0,54.0,12.0,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.31746031746,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,720.0257,2085.652,0.0001,290.947,793.779250485,0.0001,0.0001,0.220731707317,0.0001,35.0,6.0,5.0,41.0,4.8618551689e-07,20.1142857143,22.3714285714,117.333333333,130.5,1.58100685934e-05,10,0.333333333333,2.90844792474,-0.250064247409,1e-05,1e-05,-0.250064247409,1e-05,1e-05,1e-05,-0.0666803824306,spam,marketer
0.0001,0.0001,143.0,73.0,54.0,175.0,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.31746031746,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,744.5886,2085.652,0.0001,290.947,816.937427345,0.0001,0.0001,0.220731707317,0.0001,35.0,6.0,5.0,41.0,4.8618551689e-07,20.1142857143,22.3714285714,117.333333333,130.5,1.58100685934e-05,9,0.333333333333,2.75391875818,1e-05,1e-05,1e-05,1e-05,0.023,1e-05,1e-05,0.00307829473253,spam,marketer
0.0001,0.0001,143.0,73.0,54.0,6.0,1.0,5.0,2.0,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.10582010582,0.0001,0.0001,0.0001,0.0001,0.0001,6.0,0.0001,0.0001,0.0001,0.0001,0.0001,6.0,0.0001,786.9251,2583.967,0.0001,290.947,886.280138321,0.0001,0.0001,0.220731707317,0.0001,35.0,6.0,5.0,41.0,4.8618551689e-07,20.1142857143,22.3714285714,117.333333333,130.5,1.58100685934e-05,10,0.333333333333,2.90844792474,0.410834540625,1e-05,1e-05,0.410834540625,0.0222857142857,1e-05,-0.666666666667,0.00581710229858,spam,marketer
0.0001,0.0001,0.0001,3.0,0.0001,276.0,2.0,1.0,16.0,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.666666666667,0.111111111111,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,0.584984566583,1e-05,1e-05,0.584984566583,1e-05,1e-05,1e-05,0.155987891192,spam,badmouthing
0.0001,0.0001,0.0001,3.0,0.0001,276.0,2.0,1.0,16.0,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.666666666667,0.0229885057471,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,0.0001,0.0001,0.0001,28.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,1e-05,1e-05,1e-05,1e-05,0.0103125,0.17875,-0.666666666667,-0.0810822103232,spam,badmouthing
0.0001,0.0001,0.0001,3.0,0.0001,276.0,2.0,1.0,16.0,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.666666666667,0.015873015873,0.0001,0.0001,0.0001,0.0001,0.0001,27.0,1.0,0.0001,0.0001,0.0001,0.0001,42.0,6.0,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,0.50257983859,1e-05,1e-05,0.50257983859,0.0246341463415,0.5575,-0.833333333333,0.0795601832821,spam,badmouthing
0.0001,0.0001,0.0001,1.0,2.0,899.0,0.0001,0.0001,3.0,1.0,0.026455026455,0.0555555555556,0.0001,0.0238095238095,0.0227574742514,0.75,0.0441176470588,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,13.0,0.0001,120.956666667,188.236,0.0001,174.634,85.7093538627,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,2,0.5,1.0,1e-05,1e-05,1e-05,1e-05,0.0203,1e-05,-0.666666666667,-0.103998927376,spam,badmouthing
0.0001,0.0001,53.0,376.0,521.0,80.0,3.0,5.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.47619047619,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,204.17815,1063.478,0.356,7.578,330.025349173,0.0001,0.0001,0.0136216057445,0.155701754386,234.0,455.0,0.513157894737,689.0,0.000100487161193,33.3760683761,21.264957265,17.1648351648,10.9362637363,0.000376269827909,5,0.47619047619,1.87665449786,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,spam,pollution
0.0001,0.0001,53.0,376.0,521.0,3.224,1.0,4.0,2.0,2.0,0.0131912655409,0.03125,0.0001,0.0129037629038,0.0107173110303,1.0,0.0172413793103,0.0001,0.0001,0.0001,0.0001,0.0001,17.0,20.0,2.0,1.0,0.0001,3.0,47.0,1.0,257.2508,1063.88,0.356,8.239,375.525248335,0.0001,0.0001,0.0136216057445,0.155701754386,234.0,455.0,0.513157894737,689.0,0.000100487161193,33.3760683761,21.264957265,17.1648351648,10.9362637363,0.000376269827909,4,0.47619047619,1.69093380596,1e-05,1e-05,1e-05,1e-05,0.0368055555556,0.2625,0.75,0.160598284029,spam,marketer
0.0001,0.0001,53.0,376.0,521.0,220.0,1.0,5.0,2.0,2.0,0.0208715985424,0.0485436893204,0.0001,0.0197232947233,0.0140074468695,0.952380952381,0.01221001221,0.0001,0.0001,0.0001,0.0001,0.0001,20.0,2.0,0.0001,0.0001,1.0,0.0001,79.0,3.0,204.41855,1063.478,0.356,7.7075,329.880019393,2.0,1.0,0.0136216057445,0.155701754386,234.0,455.0,0.513157894737,689.0,0.000100487161193,33.3760683761,21.264957265,17.1648351648,10.9362637363,0.000376269827909,4,0.52380952381,1.64644179042,1e-05,1e-05,1.0,1e-05,0.0860338983051,0.410357142857,0.75,0.316168592778,spam,marketer
0.0001,0.0001,1.0,2.0,0.0001,15.0,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.75,0.0357142857143,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,12.0,0.0001,406.668,915.722,0.0001,304.282,380.787661799,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,2.0,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,6.85132378993e-06,3,0.5,1.5,1e-05,1e-05,1e-05,1e-05,0.0267272727273,0.489166666667,-0.6,-0.0260952567279,spam,pollution
0.0001,0.0001,0.0001,3.0,0.0001,23.0,0.0001,0.0001,0.0001,0.0001,0.0301724137931,0.0603448275862,0.0001,0.0301724137931,0.0301724137931,1.0,0.0116279069767,0.0001,0.0001,0.0001,0.0001,0.0001,77.0,14.0,1.0,1.0,0.0001,2.0,86.0,8.0,3.7545,7.417,0.092,3.7545,3.6625,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,0.716888794693,1e-05,1e-05,0.716888794693,0.0687258064516,0.2585,0.6,0.331477203015,spam,marketer
0.0001,0.0001,0.0001,3.0,0.0001,1.252,0.0001,0.0001,11.0,10.0,0.0301724137931,0.0603448275862,0.0001,0.0301724137931,0.0301724137931,1.0,0.0116279069767,0.0001,0.0001,0.0001,0.0001,0.0001,77.0,14.0,1.0,1.0,0.0001,2.0,86.0,8.0,3.71,7.328,0.092,3.71,3.618,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,0.716888794693,1e-05,1e-05,0.716888794693,0.0687258064516,0.2585,0.6,0.331477203015,spam,marketer
0.0001,0.0001,1.0,3.0,0.0001,299.0,0.0001,0.0001,2.0,0.0001,0.5,1.0,0.0001,0.5,0.5,1.0,0.142857142857,0.0001,0.0001,0.0001,0.0001,0.0001,32.0,27.0,2.0,0.0001,0.0001,2.0,5.0,5.0,91.979,92.097,91.861,91.979,0.118,0.0001,0.0001,0.0001,0.333333333333,1.0,2.0,0.333333333333,3.0,2.56951148109e-10,4.0,1.0,2.0,0.5,1.8748967647e-05,2,0.666666666667,0.918295834054,1e-05,1e-05,1e-05,1e-05,0.00566666666667,1e-05,1e-05,0.000758420441348,spam,marketer
0.0001,0.0001,1.0,2.0,0.0001,175.0,1.0,5.0,0.0001,0.0001,0.280487804878,0.560975609756,0.0001,0.280487804878,0.280487804878,1.0,0.0263157894737,0.0001,0.0001,0.0001,0.0001,0.0001,15.0,20.0,2.0,0.0001,1.0,2.0,36.0,1.0,13.55,13.55,13.55,13.55,0.0001,1.0,1.0,0.0001,0.0001,1.0,1.0,0.5,2.0,2.5199296309e-09,742.0,585.0,742.0,585.0,6.48590912387e-06,1,1.0,0.0001,1e-05,1e-05,1e-05,1e-05,0.0173428571429,0.5825,0.666666666667,0.188072669068,spam,marketer
0.0001,1.0,1.0,1.0,0.0001,71.0,2.0,3.0,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,13.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,1.23454476589e-05,1.0,-1.0,-1.0,1e-05,1e-05,1e-05,1e-05,-0.00555555555556,0.5375,1e-05,0.0721863542165,spam,pollution
0.0001,0.0001,125.0,526.0,1171.0,17.0,1.0,4.0,1.0,1.0,0.0245263596902,0.0769230769231,0.0001,0.0001,0.0306271740519,1.0,0.0416666666667,0.0001,0.0001,0.0001,0.0001,0.0001,4.0,8.0,1.0,0.0001,0.0001,1.0,19.0,0.0001,258.03475,2508.936,0.0001,2.65,742.282873556,0.0001,0.0001,0.0371900826446,0.285714285714,315.0,69.0,4.5,384.0,2.93759961268e-05,11.3333333333,8.13968253968,51.7391304348,37.1594202899,0.000471777972998,3,0.761904761905,1.02303706553,1e-05,1e-05,-1.0,1e-05,0.098875,0.6175,0.666666666667,0.0748139048303,spam,marketer
0.0001,0.0001,125.0,526.0,1171.0,47.0,0.0001,0.0001,0.0001,0.0001,0.0081208379824,0.0625,0.0001,0.0001,0.0164382233617,0.952380952381,0.119047619048,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,7.0,0.0001,257.9858,2508.936,0.0001,2.3815,742.2997087,0.0001,0.0001,0.0371900826446,0.285714285714,315.0,69.0,4.5,384.0,2.93759961268e-05,11.3333333333,8.13968253968,51.7391304348,37.1594202899,0.000471777972998,3,0.761904761905,1.02303706553,-0.503668464127,1e-05,1e-05,-0.503668464127,0.0383333333333,1e-05,1e-05,-0.129174217086,spam,pollution
0.0001,0.0001,34.0,115.0,42.0,1.689,2.0,5.0,14.0,13.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.47619047619,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,19.9938,125.628,0.007,5.7995,32.3626217319,0.0001,0.0001,0.222466422466,0.512820512821,73.0,38.0,1.87179487179,111.0,1.27256734263e-05,69.1095890411,74.2191780822,132.763157895,142.578947368,0.000157828508611,4,0.857142857143,0.818095992971,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,spam,pollution
0.0001,0.0001,1.0,3.0,0.0001,725.0,2.0,5.0,10.0,10.0,0.519230769231,1.0,0.0384615384615,0.519230769231,0.480769230769,0.666666666667,0.0289855072464,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,62.0,0.0001,0.0001,0.0001,0.0001,15.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,0.770995623704,1e-05,1e-05,0.770995623704,0.0381538461538,0.0425,0.6,0.312505588846,spam,pollution
0.0001,0.0001,1.0,1.0,0.0001,18.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,6.6037378534e-06,1.0,-1.0,-1.0,1e-05,1e-05,1e-05,1e-05,0.028,1e-05,1e-05,0.0037474892396,spam,marketer
